date,spj
2006/1/4,1180.963
2006/1/5,1197.269
2006/1/6,1209.422
2006/1/9,1215.668
2006/1/10,1220.618
2006/1/11,1211.053
2006/1/12,1226.704
2006/1/13,1221.459
2006/1/16,1202.869
2006/1/17,1208.438
2006/1/18,1233.35
2006/1/19,1251.576
2006/1/20,1255.308
2006/1/23,1255.774
2006/1/24,1252.062
2006/1/25,1258.046
2006/2/6,1287.626
2006/2/7,1282.096
2006/2/8,1290.055
2006/2/9,1269.454
2006/2/10,1282.656
2006/2/13,1279.64
2006/2/14,1286.327
2006/2/15,1299.166
2006/2/16,1270.633
2006/2/17,1267.408
2006/2/20,1267.542
2006/2/21,1288.419
2006/2/22,1284.226
2006/2/23,1288.847
2006/2/24,1296.866
2006/2/27,1297.186
2006/2/28,1299.03
2006/3/1,1306.586
2006/3/2,1285.666
2006/3/3,1293.297
2006/3/6,1288.955
2006/3/7,1259.916
2006/3/8,1250.384
2006/3/9,1245.166
2006/3/10,1245.653
2006/3/13,1259.674
2006/3/14,1259.044
2006/3/15,1274.812
2006/3/16,1274.19
2006/3/17,1269.462
2006/3/20,1288.418
2006/3/21,1290.395
2006/3/22,1296.706
2006/3/23,1302.457
2006/3/24,1294.704
2006/3/27,1295.915
2006/3/28,1298.791
2006/3/29,1305.567
2006/3/30,1294.718
2006/3/31,1298.295
2006/4/3,1319.471
2006/4/4,1329.798
2006/4/5,1340.162
2006/4/6,1339.737
2006/4/7,1342.965
2006/4/10,1359.081
2006/4/11,1362.229
2006/4/12,1360.132
2006/4/13,1332.33
2006/4/14,1359.538
2006/4/17,1378.614
2006/4/18,1385.114
2006/4/19,1396.702
2006/4/20,1385.9
2006/4/21,1416.793
2006/4/24,1409.786
2006/4/25,1399.767
2006/4/26,1417.477
2006/4/27,1416.732
2006/4/28,1440.223
2006/5/8,1497.104
2006/5/9,1531.161
2006/5/10,1545.687
2006/5/11,1537.377
2006/5/12,1602.832
2006/5/15,1664.088
2006/5/16,1613.251
2006/5/17,1625.146
2006/5/18,1617.281
2006/5/19,1659.545
2006/5/22,1657.689
2006/5/23,1604.552
2006/5/24,1590.924
2006/5/25,1591.425
2006/5/26,1613.894
2006/5/29,1648.538
2006/5/30,1657.288
2006/5/31,1641.3
2006/6/1,1684.195
2006/6/2,1669.399
2006/6/5,1684.624
2006/6/6,1679.126
2006/6/7,1589.545
2006/6/8,1591.49
2006/6/9,1551.384
2006/6/12,1552.798
2006/6/13,1548.495
2006/6/14,1531.327
2006/6/15,1533.98
2006/6/16,1574.467
2006/6/19,1586.286
2006/6/20,1592.332
2006/6/21,1598.116
2006/6/22,1596.066
2006/6/23,1605.711
2006/6/26,1633.449
2006/6/27,1639.551
2006/6/28,1639.286
2006/6/29,1671.618
2006/6/30,1672.211
2006/7/3,1697.282
2006/7/4,1681.547
2006/7/5,1718.555
2006/7/6,1741.47
2006/7/7,1730.19
2006/7/10,1734.329
2006/7/11,1745.806
2006/7/12,1740
2006/7/13,1655.773
2006/7/14,1665.208
2006/7/17,1682.887
2006/7/18,1684.252
2006/7/19,1645.16
2006/7/20,1655.122
2006/7/21,1665.328
2006/7/24,1665.944
2006/7/25,1685.461
2006/7/26,1686.654
2006/7/27,1675.168
2006/7/28,1662.031
2006/7/31,1612.733
2006/8/1,1600.614
2006/8/2,1600.872
2006/8/3,1601.058
2006/8/4,1570.15
2006/8/7,1547.436
2006/8/8,1580.577
2006/8/9,1578.566
2006/8/10,1606.065
2006/8/11,1605.926
2006/8/14,1570.738
2006/8/15,1595.657
2006/8/16,1616.41
2006/8/17,1603.332
2006/8/18,1598.018
2006/8/21,1601.15
2006/8/22,1613.355
2006/8/23,1612.396
2006/8/24,1623.017
2006/8/25,1623.034
2006/8/28,1650.438
2006/8/29,1651.024
2006/8/30,1655.195
2006/8/31,1658.638
2006/9/1,1636.691
2006/9/4,1657.52
2006/9/5,1664.078
2006/9/6,1672.121
2006/9/7,1661.19
2006/9/8,1667.984
2006/9/11,1674.966
2006/9/12,1695.862
2006/9/13,1689.389
2006/9/14,1689.692
2006/9/15,1721.045
2006/9/18,1732.987
2006/9/19,1735.241
2006/9/20,1732.453
2006/9/21,1740.901
2006/9/22,1725.361
2006/9/25,1722.366
2006/9/26,1712.637
2006/9/27,1725.039
2006/9/28,1736.963
2006/9/29,1752.424
2006/10/9,1785.385
2006/10/10,1784.862
2006/10/11,1790.104
2006/10/12,1778.181
2006/10/13,1784.656
2006/10/16,1771.299
2006/10/17,1763.901
2006/10/18,1787.185
2006/10/19,1792.253
2006/10/20,1790.364
2006/10/23,1759.394
2006/10/24,1805.181
2006/10/25,1806.646
2006/10/26,1810.646
2006/10/27,1807.175
2006/10/30,1809.656
2006/10/31,1837.993
2006/11/1,1855.713
2006/11/2,1851.314
2006/11/3,1866.362
2006/11/6,1886.307
2006/11/7,1889.53
2006/11/8,1866.817
2006/11/9,1896.482
2006/11/10,1883.347
2006/11/13,1863.765
2006/11/14,1888.239
2006/11/15,1922.935
2006/11/16,1941.547
2006/11/17,1971.793
2006/11/20,2017.279
2006/11/21,2037.552
2006/11/22,2041.355
2006/11/23,2062.363
2006/11/24,2050.812
2006/11/27,2047.277
2006/11/28,2038.721
2006/11/29,2054.091
2006/11/30,2099.289
2006/12/1,2102.049
2006/12/4,2161.648
2006/12/5,2173.285
2006/12/6,2156.604
2006/12/7,2156.75
2006/12/8,2093.638
2006/12/11,2180.496
2006/12/12,2218.951
2006/12/13,2223.455
2006/12/14,2249.11
2006/12/15,2273.908
2006/12/18,2332.434
2006/12/19,2364.177
2006/12/20,2373.205
2006/12/21,2342.938
2006/12/22,2343.668
2006/12/25,2435.762
2006/12/26,2479.732
2006/12/27,2536.387
2006/12/28,2567.594
2006/12/29,2675.474
2007/1/4,2715.719
2007/1/5,2641.334
2007/1/8,2707.199
2007/1/9,2807.804
2007/1/10,2825.576
2007/1/11,2770.11
2007/1/12,2668.11
2007/1/15,2794.701
2007/1/16,2821.017
2007/1/17,2778.9
2007/1/18,2756.983
2007/1/19,2832.207
2007/1/22,2933.19
2007/1/23,2949.144
2007/1/24,2975.129
2007/1/25,2857.365
2007/1/26,2882.558
2007/1/29,2945.263
2007/1/30,2930.562
2007/1/31,2786.335
2007/2/1,2785.432
2007/2/2,2673.212
2007/2/5,2612.537
2007/2/6,2675.697
2007/2/7,2716.175
2007/2/8,2737.732
2007/2/9,2730.386
2007/2/12,2807.174
2007/2/13,2831.872
2007/2/14,2905.093
2007/2/15,2993.008
2007/2/16,2998.474
2007/2/26,3040.599
2007/2/27,2771.791
2007/2/28,2881.073
2007/3/1,2797.19
2007/3/2,2831.526
2007/3/5,2785.306
2007/3/6,2840.175
2007/3/7,2896.594
2007/3/8,2928.015
2007/3/9,2937.91
2007/3/12,2954.914
2007/3/13,2964.794
2007/3/14,2906.334
2007/3/15,2951.698
2007/3/16,2930.481
2007/3/19,3014.442
2007/3/20,3032.195
2007/3/21,3057.38
2007/3/22,3071.225
2007/3/23,3074.286
2007/3/26,3122.811
2007/3/27,3138.826
2007/3/28,3173.018
2007/3/29,3197.537
2007/3/30,3183.983
2007/4/2,3252.595
2007/4/3,3291.299
2007/4/4,3291.542
2007/4/5,3319.14
2007/4/6,3323.585
2007/4/9,3398.95
2007/4/10,3444.291
2007/4/11,3495.224
2007/4/12,3531.029
2007/4/13,3518.267
2007/4/16,3596.441
2007/4/17,3611.87
2007/4/18,3612.396
2007/4/19,3449.016
2007/4/20,3584.204
2007/4/23,3710.886
2007/4/24,3720.532
2007/4/25,3743.959
2007/4/26,3783.063
2007/4/27,3759.867
2007/4/30,3841.272
2007/5/8,3950.011
2007/5/9,4013.085
2007/5/10,4049.701
2007/5/11,4021.678
2007/5/14,4046.392
2007/5/15,3899.178
2007/5/16,3986.043
2007/5/17,4048.293
2007/5/18,4030.258
2007/5/21,4072.225
2007/5/22,4110.379
2007/5/23,4173.709
2007/5/24,4151.133
2007/5/25,4179.776
2007/5/28,4272.111
2007/5/29,4334.924
2007/5/30,4053.088
2007/5/31,4109.654
2007/6/1,4000.742
2007/6/4,3670.401
2007/6/5,3767.101
2007/6/6,3776.317
2007/6/7,3890.803
2007/6/8,3913.135
2007/6/11,3995.68
